,distances,rewards,steps
0,0.388176441193,4.38680960484e-05,1.0
1,0.385653495789,4.30182838271e-05,2.0
2,0.345748901367,3.09987148941e-05,3.0
3,0.328185796738,2.65106641824e-05,4.0
4,0.2826795578,1.69412118444e-05,5.0
5,0.250236272812,1.17520072755e-05,6.0
6,0.247449874878,1.1363784232e-05,7.0
7,0.233992576599,9.6087634586e-06,8.0
8,0.227252244949,8.80209010228e-06,9.0
9,0.219706058502,7.95403252064e-06,10.0
10,0.18855381012,5.02767505984e-06,11.0
11,0.191048622131,5.22989528e-06,12.0
12,0.190408468246,5.17749921123e-06,13.0
13,0.17534327507,4.04323147677e-06,14.0
14,0.149976968765,2.53008422275e-06,15.0
15,0.113344192505,1.09209163791e-06,16.0
16,0.05251121521,1.08596910434e-07,17.0
17,0.0281374454498,1.67076458697e-08,18.0
18,0.0327136516571,2.62571955199e-08,19.0
19,0.042548418045,5.77712169707e-08,20.0
20,0.026792049408,1.44237793365e-08,21.0
21,-0.0128455162048,-1.58970283015e-09,22.0
22,-0.027286529541,-1.52372352476e-08,23.0
23,-0.0459499359131,-7.27639042018e-08,24.0
24,-0.0481104850769,-8.3518074001e-08,25.0
25,-0.0514554977417,-1.02177815661e-07,26.0
26,-0.0505621433258,-9.69477400136e-08,27.0
27,-0.0413060188293,-5.28568501948e-08,28.0
28,-0.0191280841827,-5.248989291e-09,29.0
29,-0.0230932235718,-9.23665970426e-09,30.0
30,-0.034232378006,-3.00865555694e-08,31.0
31,-0.0356385707855,-3.39486181174e-08,32.0
32,-0.0281202793121,-1.66770854398e-08,33.0
33,-0.00250673294067,-1.18136872024e-11,34.0
34,0.00760197639465,3.2948891905e-10,35.0
35,-0.00113296508789,-1.0907138942e-12,36.0
36,0.00455617904663,7.0935496155e-11,37.0
37,0.0122222900391,1.36936435791e-09,38.0
38,0.0132052898407,1.72705066034e-09,39.0
39,0.0218327045441,7.80519713141e-09,40.0
40,0.00919699668884,5.83444236114e-10,41.0
41,0.0158619880676,2.99318885795e-09,42.0
42,0.0232765674591,9.45840861879e-09,43.0
43,0.0467479228973,7.66210714253e-08,44.0
44,0.0551981925964,1.26135065136e-07,45.0
45,0.0404477119446,4.96298704457e-08,46.0
46,0.060028553009,1.62231389453e-07,47.0
47,0.0673155784607,2.28774708076e-07,48.0
48,0.0734579563141,2.97288279893e-07,49.0
49,0.0799870491028,3.83813537269e-07,50.0
50,0.0668513774872,2.24074452867e-07,51.0
51,0.0717132091522,2.76604178197e-07,52.0
52,0.0715556144714,2.74784612894e-07,53.0
53,0.061333656311,1.73044511475e-07,54.0
54,0.0535144805908,1.14941062403e-07,55.0
55,0.032336473465,2.53594148698e-08,56.0
56,0.0269343852997,1.46548868222e-08,57.0
57,0.0194497108459,5.51824160008e-09,58.0
58,0.0229573249817,9.07455024605e-09,59.0
59,0.0137872695923,1.96560417812e-09,60.0
60,-0.0224344730377,-8.46854660626e-09,61.0
61,-0.0359377861023,-3.48108976098e-08,62.0
62,-0.0671052932739,-2.26637410582e-07,63.0
63,-0.0830888748169,-4.30219307495e-07,64.0
64,-0.0920243263245,-5.8447939303e-07,65.0
65,-0.128349781036,-1.58579359609e-06,66.0
66,-0.124584436417,-1.45028260888e-06,67.0
67,-0.139164447784,-2.02137162625e-06,68.0
68,-0.162432909012,-3.21427721611e-06,69.0
69,-0.193127393723,-5.4024766988e-06,70.0
70,-0.240206003189,-1.0394720936e-05,71.0
71,-0.27605009079,-1.57770189192e-05,72.0
72,-0.334533214569,-2.80788291686e-05,73.0
73,-0.36030125618,-3.50799198343e-05,74.0
74,-0.389707326889,-4.43891650903e-05,75.0
75,-0.413959980011,-5.32030261433e-05,76.0
76,-0.432705879211,-6.07630620822e-05,77.0
77,-0.446445465088,-6.67369740002e-05,78.0
78,-0.459444999695,-7.27380830327e-05,79.0
79,-0.485108852386,-8.56207174869e-05,80.0
80,-0.491719245911,-8.91687922101e-05,81.0
81,-0.51026725769,-9.96447378583e-05,82.0
82,-0.514306783676,-0.000102030031662,83.0
83,-0.518266916275,-0.000104405102145,84.0
84,-0.500240087509,-9.38851140815e-05,85.0
85,-0.465325832367,-7.55670993359e-05,86.0
86,-0.443202257156,-6.52930797517e-05,87.0
87,-0.397922277451,-4.72558983931e-05,88.0
88,-0.375143289566,-3.95961362903e-05,89.0
89,-0.3686003685,-3.75602572919e-05,90.0
90,-0.321160078049,-2.48442521157e-05,91.0
91,-0.318956136703,-2.43362775918e-05,92.0
92,-0.313455820084,-2.30988456794e-05,93.0
93,-0.3009724617,-2.04475625193e-05,94.0
94,-0.281198501587,-1.66763219069e-05,95.0
95,-0.251374721527,-1.19131352091e-05,96.0
96,-0.225302934647,-8.5775213787e-06,97.0
97,-0.203926324844,-6.36035184429e-06,98.0
98,-0.174630403519,-3.99411749146e-06,99.0
99,-0.128171682358,-1.57920139098e-06,100.0
100,-0.118330717087,-1.24266410148e-06,101.0
101,-0.0860266685486,-4.77485928951e-07,102.0
102,-0.0699894428253,-2.57133624702e-07,103.0
103,-0.0546870231628,-1.22663150278e-07,104.0
104,-0.0293591022491,-1.89797102381e-08,105.0
105,-0.0261991024017,-1.34871597159e-08,106.0
106,-0.003662109375,-3.68345354218e-11,107.0
107,0.0247523784637,1.13739698761e-08,108.0
108,0.0417354106903,5.45224468464e-08,109.0
109,0.0570025444031,1.38913351053e-07,110.0
110,0.0519227981567,1.04987000975e-07,111.0
111,0.0769302845001,3.41470569587e-07,112.0
112,0.0813164710999,4.03270852324e-07,113.0
113,0.0926449298859,5.96384344386e-07,114.0
114,0.093827009201,6.19505095354e-07,115.0
115,0.0840051174164,4.44609249052e-07,116.0
116,0.084025144577,4.44927314812e-07,117.0
117,0.0845944881439,4.54033047002e-07,118.0
118,0.0844488143921,4.51691516188e-07,119.0
119,0.0792818069458,3.73750586413e-07,120.0
120,0.0608253479004,1.68777701549e-07,121.0
121,0.0581920146942,1.47792176019e-07,122.0
122,0.0863807201385,4.83405652618e-07,123.0
123,0.0924870967865,5.93341471379e-07,124.0
124,0.0900750160217,5.48118306862e-07,125.0
125,0.0697064399719,2.54027054671e-07,126.0
126,0.0627768039703,1.85549106801e-07,127.0
127,0.0598418712616,1.60722529888e-07,128.0
128,0.0656366348267,2.1208022904e-07,129.0
129,0.0575630664825,1.43051701517e-07,130.0
130,0.0489311218262,8.78651756887e-08,131.0
131,0.0362689495087,3.57821303988e-08,132.0
132,0.0327866077423,2.64332593998e-08,133.0
