distances,positions[0],positions[1],rewards,steps,travelled_distance
0.3719420433,1.0830819607,4.6195664406,3.85910931828E-05,1,0
0.3719420433,1.1128928661,4.6196813583,3.85910931828E-05,2,0.0298111269
0.3693020344,1.1434267759,4.6210203171,3.77751644417E-05,3,0.0603743803
0.3485687971,1.1742722988,4.6348190308,3.17633855743E-05,4,0.094165663
0.3162871599,1.2080972195,4.6593604088,2.37304485895E-05,5,0.1359556677
0.2842516899,1.2453188896,4.6872649193,1.72254441695E-05,6,0.182475711
0.2585470676,1.2877348661,4.7132873535,1.29622416303E-05,7,0.2322379673
0.2693560123,1.2877348661,4.7132873535,1.46568716669E-05,8,0.2322379673
0.288877964,1.3395740986,4.7151579857,1.80802531567E-05,9,0.2841109399
0.288877964,1.387737751,4.705391407,1.80802531567E-05,10,0.3332548456
0.2975422144,1.387737751,4.705391407,1.97563647589E-05,11,0.3332548456
0.2990933657,1.4271154404,4.6983385086,0.000020067,12,0.3732591678
0.2876567841,1.4812511206,4.7028818131,1.78519279702E-05,13,0.4275851606
0.2591240406,1.5015285015,4.7230906487,1.30492149451E-05,14,0.4562132799
0.2131733894,1.5242240429,4.7503795624,7.26541179888E-06,15,0.4917065526
0.2131733894,1.5550944805,4.7689590454,7.26541179888E-06,16,0.5277368331
0.1962032318,1.5550944805,4.7689590454,5.66473676585E-06,17,0.5277368331
0.1962032318,1.5867421627,4.7873373032,5.66473676585E-06,18,0.5643337748
0.2033196688,1.5867421627,4.7873373032,6.30375671718E-06,19,0.5643337748
0.2033196688,1.6223371029,4.7884092331,6.30375671718E-06,20,0.5999448518
0.2063902617,1.6223371029,4.7884092331,6.59369521017E-06,21,0.5999448518
0.2063902617,1.6544882059,4.7882680893,6.59369521017E-06,22,0.6320962646
0.1958613396,1.6544882059,4.7882680893,5.63517522398E-06,23,0.6320962646
0.168692708,1.6806402206,4.7975950241,3.60039536029E-06,24,0.6598617033
0.1287522316,1.7022330761,4.8192858696,1.60075755035E-06,25,0.6904679802
0.1261894703,1.721162796,4.8520598412,1.50706025074E-06,26,0.7283159327
0.1319022179,1.7483747006,4.8643498421,1.7211453882E-06,27,0.7581744637
0.1278687716,1.78195858,4.8659658432,0.000001568,28,0.7917972003
0.1180710793,1.8128608465,4.8717279434,1.2345021836E-06,29,0.8232320834
0.0845280886,1.8404073715,4.8812265396,0.000000453,30,0.8523702777
0.0845280886,1.8618816137,4.9065198898,0.000000453,31,0.8855500403
0.0808064938,1.8859891892,4.9172010422,3.95730981352E-07,32,0.9119178655
0.0581578016,1.9084701538,4.9372310638,1.47531653097E-07,33,0.9420275905
0.030231595,1.9084701538,4.9372310638,2.07226097188E-08,34,0.9420275905
-0.001129508,1.928357482,4.9625425339,-1.08075989014E-12,35,0.9742172835
-0.0150300264,1.9645264149,5.0100831986,-2.54648133201E-09,36,1.0339525872
-0.0218663216,1.9863679409,5.0222253799,-7.84130695253E-09,37,1.0589422817
-0.0695575476,2.0054636002,5.0434155464,-2.52402729843E-07,38,1.0874671367
-0.086930871,2.0216085911,5.06554842,-4.92700901221E-07,39,1.1148628449
-0.1022148132,2.0364136696,5.0836396217,-8.00945160606E-07,40,1.1382397979
-0.1101937294,2.0506958962,5.0993032455,-1.00353357733E-06,41,1.1594372294
-0.1046303511,2.0660233498,5.1094942093,-8.59081389543E-07,42,1.1778433854
-0.1171925068,2.0853083134,5.1097631455,-1.20714876836E-06,43,1.1971302241
-0.1233284473,2.1023807526,5.1193032265,-1.40686056135E-06,44,1.2166873539
-0.1315888166,2.1303093433,5.128575325,-1.70890612983E-06,45,1.246114858
-0.1283228397,2.1409058571,5.1329417229,-1.58479520624E-06,46,1.2575757276
-0.117764473,2.1532831192,5.1318159103,-1.22490989169E-06,47,1.2700040852
-0.1070977449,2.1726355553,5.1252384186,-9.21302484978E-07,48,1.2904437569
-0.1011323929,2.2376198769,5.1113204956,-7.75768449506E-07,49,1.3569017935
-0.0996105671,2.2741956711,5.1079530716,-7.41271838342E-07,50,1.393632275
-0.1180781126,2.2741956711,5.1079530716,-1.23472281004E-06,51,1.393632275
-0.1115117073,2.3325045109,5.1140146256,-0.00000104,52,1.4522553356
-0.1015509367,2.3696827889,5.1057786942,-7.85440089743E-07,53,1.4903349222
-0.1038820744,2.4104063511,5.1013422012,-8.40781414411E-07,54,1.5312994311
-0.1071456671,2.4498708248,5.0994272232,-9.22539781065E-07,55,1.5708103388
-0.1263551712,2.5201001167,5.1084775925,-0.000001513,56,1.6416203849
-0.1147515774,2.5502390862,5.1032457352,-1.13328008128E-06,57,1.6722100859
-0.1147515774,2.5851273537,5.0961756706,-1.13328008128E-06,58,1.7078075159
-0.1142902374,2.6225018501,5.0920395851,-1.11966645792E-06,59,1.7454101779
-0.1330872774,2.6607775688,5.0880565643,-0.000001768,60,1.7838925778
-0.1330872774,2.6968994141,5.0971088409,-0.000001768,61,1.8211314206
-0.1490684748,2.7290606499,5.107003212,-2.48438379097E-06,62,1.8547802492
-0.11746943,2.7579007149,5.0951561928,-1.21572639896E-06,63,1.8859587869
-0.1088978052,2.7903327942,5.0811200142,-9.68542413965E-07,64,1.9212979165
-0.1004947424,2.8254570961,5.0687408447,-7.61186867935E-07,65,1.958539834
-0.0915288925,2.863260746,5.0563030243,-5.75090092724E-07,66,1.9983370113
-0.0915288925,2.9032173157,5.0431962013,-5.75090092724E-07,67,2.0403883641
-0.0996290445,2.9430172443,5.0293631554,-7.41684425493E-07,68,2.0825237113
-0.1192305088,2.9845273495,5.0349969864,-1.27122801505E-06,69,2.124414389
-0.1082072258,3.0738937855,5.0400032997,-9.50232875593E-07,70,2.2139209421
-0.1115142107,3.0738937855,5.0400032997,-0.00000104,71,2.2139209421
-0.0914199352,3.1491148472,5.023001194,-0.000000573,72,2.2910395503
-0.0729526281,3.183442831,5.0087871552,-2.91195118016E-07,73,2.3281939494
-0.0729526281,3.215698719,4.998339653,-2.91195118016E-07,74,2.3620995922
-0.0710361004,3.2465939522,4.9909391403,-2.68842917849E-07,75,2.3938688072
-0.0704467297,3.2760021687,4.9879078865,-2.6220669323E-07,76,2.4234328342
-0.0698406696,3.3318812847,4.9822750092,-2.5549737798E-07,77,2.4795951429
-0.0945188999,3.357483387,4.9814853668,-6.33311301932E-07,78,2.5052094197
-0.1212912798,3.3829638958,4.9968099594,-1.33828927905E-06,79,2.5349432299
-0.1280294657,3.4169254303,5.0186433792,-0.000001574,80,2.5753175292
-0.1272534132,3.4550971985,5.0281529427,-1.54550204097E-06,81,2.6146560051
-0.1206433773,3.4877712727,5.0304765701,-0.000001317,82,2.6474125978
-0.1261309385,3.5165774822,5.0272755623,-0.000001505,83,2.6763961131
-0.1396596432,3.5555503368,5.0405712128,-0.000002043,84,2.7175744778
-0.1730347872,3.5756783485,5.0591192246,-3.88563079835E-06,85,2.7449453674
-0.1843454838,3.6017940044,5.070192337,-4.69849501799E-06,86,2.7733115674
-0.2038221359,3.6255741119,5.0817022324,-6.35060803603E-06,87,2.7997307121
-0.2095466852,3.6761193276,5.107708931,-6.90086686702E-06,88,2.8565740687
-0.2230774164,3.6994147301,5.1209044457,-8.32584040007E-06,89,2.8833471407
-0.2455739975,3.7223422527,5.1411266327,-1.11072974634E-05,90,2.9139185022
-0.2681877613,3.7223422527,5.1411266327,-0.000014467,91,2.9139185022
-0.2921720743,3.7754559517,5.1871218681,-1.87058468828E-05,92,2.9841796344
-0.3271951675,3.7999210358,5.2194247246,-2.62713206882E-05,93,3.0247014171
-0.3770235777,3.8267002106,5.2536020279,-4.0194515137E-05,94,3.0681204483
-0.3770235777,3.8594136238,5.276137352,-4.0194515137E-05,95,3.1078446001
-0.3893941045,3.8915786743,5.2937521935,-4.42822193776E-05,96,3.1445171118
-0.3899521232,3.9262919426,5.302295208,-4.44728673615E-05,97,3.180266155
-0.4049209356,3.9526782036,5.3187203407,-4.97934202464E-05,98,3.2113470134
-0.4293839931,3.9728331566,5.3421869278,-5.93743427063E-05,99,3.2422808595
-0.4593589902,3.9895675182,5.3711013794,-7.26972403079E-05,100,3.2756887085
-0.4701238275,4.0162496567,5.3885793686,-7.79288115584E-05,101,3.3075856773
-0.4908037186,4.038693428,5.4106945992,-8.8671651427E-05,102,3.3390945061
-0.5365641713,4.0579390526,5.4360589981,-0.0001158581,103,3.3709338968
-0.5720875263,4.0771040916,5.4611158371,-0.0001404264,104,3.4024797983
-0.5683581829,4.1199712753,5.5044498444,-0.000137698,105,3.4634341388
-0.590488255,4.1471366882,5.5268917084,-0.000154417,106,3.4986704399
-0.60428828,4.1716370583,5.5462179184,-0.0001654984,107,3.5298757364
-0.6286515594,4.1911201477,5.5707731247,-0.0001863336,108,3.5612213729
-0.6491937041,4.2086496353,5.5936594009,-0.0002052032,109,3.5900495636
-0.674900651,4.226981163,5.6117544174,-0.0002305583,110,3.6158075629
-0.6844306588,4.2465372086,5.628361702,-0.0002404638,111,3.6414637672
-0.7143767476,4.2687916756,5.6426873207,-0.0002734281,112,3.6679304378
-0.7240297198,4.2982878685,5.6837100983,-0.0002846626,113,3.718456606
-0.7336847186,4.2982878685,5.6837100983,-0.0002962032,114,3.718456606
-0.7279297709,4.3119559288,5.6968283653,-0.0002892875,115,3.737401389
-0.742612958,4.3454322815,5.7143139839,-0.0003071488,116,3.7751692728
-0.7400062084,4.3657546043,5.715821743,-0.0003039256,117,3.7955474509
-0.7410696745,4.3854942322,5.7231783867,-0.0003052379,118,3.816613374
-0.7489356399,4.4036521912,5.7280702591,-0.0003150611,119,3.8354187426
-0.7271680832,4.4350786209,5.7318468094,-0.0002883804,120,3.8670712752
-0.7105545402,4.4651994705,5.7312479019,-0.0002690627,121,3.8971980784
-0.7009308934,4.4937152863,5.7360157967,-0.0002582777,122,3.9261097468
-0.7010323405,4.514380455,5.7455887795,-0.0002583898,123,3.9488845399
-0.67943573,4.5352430344,5.7492003441,-0.0002352374,124,3.9700574144
-0.6611530781,4.5890340805,5.7494840622,-0.0002167541,125,4.0238492088
-0.6598545313,4.6159238815,5.7607455254,-0.0002154795,126,4.0530019436
-0.6430697441,4.6435174942,5.7611680031,-0.0001994507,127,4.0805987903
-0.6090299487,4.6777868271,5.7622480393,-0.0001694249,128,4.1148851383
-0.5914774537,4.713821888,5.7665858269,-0.0001551943,129,4.1511803448
-0.5742722154,4.751326561,5.7701454163,-0.0001420413,130,4.1888535604
-0.5754987597,4.7899231911,5.7745990753,-0.0001429534,131,4.2277062943
-0.5542402267,4.8231306076,5.7920489311,-0.0001276896,132,4.2652193584
-0.5292915106,4.8576207161,5.7939538956,-0.0001112106,133,4.2997620345
-0.4970910549,4.9357395172,5.7851414681,-9.21232196356E-05,134,4.3783763206
-0.4650703669,4.9779458046,5.781563282,-7.54427078477E-05,135,4.420734013
-0.4592125416,5.0174064636,5.7956609726,-7.26277324741E-05,136,4.4626373362
-0.4293259382,5.0554990768,5.8133263588,-5.93502628129E-05,137,4.5046267759
-0.3982357979,5.09420681,5.8128662109,-4.73676842876E-05,138,4.5433372441
-0.3714467287,5.1334114075,5.8071303368,-3.84371233232E-05,139,4.5829592167
-0.3429098725,5.210144043,5.7974066734,-3.02413538537E-05,140,4.6603054964
-0.3213135004,5.210144043,5.7974066734,-2.48798743968E-05,141,4.6603054964
-0.3062454462,5.2827105522,5.803645134,-2.15412143409E-05,142,4.7331396687
-0.2675768137,5.3206896782,5.8183851242,-1.43683433332E-05,143,4.7738788552
-0.245331645,5.3592500687,5.8210945129,-1.10744451401E-05,144,4.8125343141
-0.2305361032,5.3935227394,5.8228325844,-9.18920853769E-06,145,4.846851028
-0.2249988317,5.4243106842,5.8284921646,-8.5428356796E-06,146,4.878154836
-0.2249988317,5.4563312531,5.8454670906,-8.5428356796E-06,147,4.9143965928
-0.2170603275,5.490442276,5.8642363548,-7.67012824398E-06,148,4.9533304748
-0.1797506809,5.525809288,5.8701915741,-4.3558498025E-06,149,4.9891953626
-0.1695646048,5.5542445183,5.8789644241,-3.65651087271E-06,150,5.0189531384
-0.1698551178,5.5794038773,5.8879737854,-3.67533706153E-06,151,5.0456769467
-0.1543949842,5.6038713455,5.9067749977,-2.76032885888E-06,152,5.0765337545
-0.1475436687,5.6332912445,5.9176955223,-2.40892344258E-06,153,5.1079150916
-0.1322089434,5.655544281,5.9289937019,-1.73318038883E-06,154,5.1328719843
