distances,positions[0],positions[1],rewards,steps,travelled_distance
0.3054437637,1.4936544895,4.6843380928,2.1372486479E-05,1,0
0.2866951227,1.5564967394,4.7049541473,1.76734842686E-05,2,0.0661375088
0.3021939993,1.5896847248,4.6990318298,2.06975419793E-05,3,0.0998497651
0.3163747787,1.6204087734,4.6897025108,2.37501756958E-05,4,0.131959006
0.271871686,1.6458923817,4.6995611191,1.50713864099E-05,5,0.1592831061
0.2255796194,1.6904850006,4.7574496269,8.60916124827E-06,6,0.2323555428
0.1990808249,1.7130920887,4.787334919,5.91765385156E-06,7,0.2698283478
0.1957352161,1.7402830124,4.8007478714,5.62429604715E-06,8,0.3001475434
0.1889863014,1.7708841562,4.8085284233,5.06235084427E-06,9,0.3317223276
0.1721556187,1.8323075771,4.8328270912,3.82670397586E-06,10,0.397777319
0.1390239,1.8597720861,4.8509702683,2.01525341682E-06,11,0.4306934872
0.0994559526,1.9120941162,4.8972916603,7.37825410918E-07,12,0.5005738578
0.0450305939,1.9310840368,4.9279527664,6.84832381196E-08,13,0.5366393609
0.0230892897,1.9670652151,4.9768161774,9.23194014228E-09,14,0.5973211384
-0.0153505802,1.9846742153,4.9986944199,-2.71291164446E-09,15,0.6254055537
-0.0408781767,2.0186953545,5.0408744812,-5.12313515013E-08,16,0.6795959171
-0.0469332933,2.0372166634,5.0515260696,-7.75361715774E-08,17,0.7009616658
-0.0618958473,2.0561184883,5.0596117973,-1.77846695894E-07,18,0.7215203131
-0.0679153204,2.0732693672,5.0679349899,-2.34944090056E-07,19,0.7405841056
-0.0717427731,2.1025927067,5.0785112381,-2.76946411004E-07,20,0.7717564533
-0.0863051414,2.112226963,5.0891656876,-4.82137897199E-07,21,0.7861208603
-0.0724388361,2.1329760552,5.0835161209,-2.8508584512E-07,22,0.8076253349
-0.0605567694,2.1589341164,5.0748939514,-1.66551810289E-07,23,0.8349778987
-0.0447903872,2.1940693855,5.066467762,-6.73931432378E-08,24,0.8711094335
-0.043766737,2.2728900909,5.0561027527,-6.28772835361E-08,25,0.9506087229
