distances,positions[0],positions[1],rewards,steps,travelled_distance
-0.0807294846,-0.003062834,0.0445159152,-3.94600655372E-07,1,0
-0.0958951712,-0.0043324316,0.0585042834,-6.61380642065E-07,2,0.014045865
-0.1071574688,-0.0055188108,0.0811600089,-9.22844658213E-07,3,0.0367326319
-0.1202589273,-0.0049370159,0.0887994543,-1.30440736072E-06,4,0.0443941991
-0.1256878376,-0.0030997624,0.0947006568,-1.48915884988E-06,5,0.050574789
-0.1421512365,-0.0004483209,0.1005972624,-2.15433476067E-06,6,0.0570400886
-0.1421512365,0.0020256464,0.1134197861,-2.15433476067E-06,7,0.0700990942
-0.1443470716,0.0020256464,0.1134197861,-2.25572003478E-06,8,0.0700990942
-0.1462761164,0.0054885009,0.1181670427,-2.34736987799E-06,9,0.0759751309
-0.1462761164,0.0095384512,0.1222367659,-2.34736987799E-06,10,0.0817166241
-0.1446207762,0.0139328446,0.1238567233,-2.26857597034E-06,11,0.0864001009
-0.1404240131,0.0199005362,0.1230892688,-2.0767556695E-06,12,0.0924169381
-0.128718257,0.0199005362,0.1230892688,-1.59949067932E-06,13,0.0924169381
-0.128718257,0.0292705484,0.1165011302,-1.59949067932E-06,14,0.1038712255
-0.1277447939,0.0379165187,0.1167794913,-1.56347482705E-06,15,0.1125216756
-0.126437068,0.0451334566,0.1172474474,-1.51594872469E-06,16,0.119753769
-0.1121947765,0.0558022149,0.1081781164,-1.05920293882E-06,17,0.1337564533
-0.1140577793,0.066674225,0.1093441397,-1.11284838132E-06,18,0.1446908127
-0.1155275106,0.066674225,0.1093441397,-1.15642510037E-06,19,0.1446908127
-0.1155275106,0.0741582736,0.1114785075,-1.15642510037E-06,20,0.1524732615
-0.1149523258,0.0741582736,0.1114785075,-1.13923823322E-06,21,0.1524732615
-0.1001830101,0.0791537389,0.1126934886,-7.54125267734E-07,22,0.157614356
-0.0851678848,0.086973004,0.1033307314,-4.63328321704E-07,23,0.1698128038
-0.071085453,0.0974016339,0.0925898477,-2.69403646666E-07,24,0.1847835387
-0.071085453,0.1097183004,0.0816152021,-2.69403646666E-07,25,0.2012802996
-0.0587589741,0.1235107929,0.0714088231,-1.52154176112E-07,26,0.2184384761
-0.0484721661,0.1235107929,0.0714088231,-8.54158654164E-08,27,0.2184384761
-0.0484721661,0.1382172257,0.0625131652,-8.54158654164E-08,28,0.2356260267
-0.0391823053,0.1537805498,0.0542514101,-4.51160653723E-08,29,0.2532462893
-0.0236735344,0.1537805498,0.0542514101,-0.00000001,30,0.2532462893
