distances,positions[0],positions[1],rewards,steps,travelled_distance
0.1484180689,1.9680616856,-0.1302820742,0.000002452,1,0
0.1433936358,1.9967782497,-0.1222324967,2.21131642988E-06,2,0.0298234263
0.1533769369,2.0256302357,-0.1156599522,2.70608506312E-06,3,0.0594145641
0.1641644239,2.0971026421,-0.1277154088,3.31816825864E-06,4,0.1318965543
0.1541993618,2.1294851303,-0.121600762,2.7498499227E-06,5,0.1648512877
0.1444746256,2.1558866501,-0.1135120392,2.2617051989E-06,6,0.192464105
0.1370632648,2.1786699295,-0.1062740311,1.93118767424E-06,7,0.2163694723
0.1406805515,2.1982321739,-0.1049470752,2.08815845119E-06,8,0.2359766704
0.1232377291,2.2342250347,-0.0927805007,1.4037582577E-06,9,0.2739702431
0.1339524984,2.2477164269,-0.0974299163,1.80265956954E-06,10,0.2882403071
0.1474417448,2.2666683197,-0.1063357145,2.40393459953E-06,11,0.3091803998
0.1641184092,2.2916224003,-0.1191732138,3.31537882343E-06,12,0.3372429644
0.1732093096,2.3206868172,-0.1282284409,3.89739976942E-06,13,0.3676853274
0.1915392876,2.3495583534,-0.1372859031,5.2702942892E-06,14,0.3979442637
0.1800789833,2.3797254562,-0.1469632834,4.37976040998E-06,15,0.4296255797
0.1941673756,2.4101090431,-0.1425122172,5.49022376206E-06,16,0.460333467
0.2219561338,2.4334540367,-0.1533133388,8.20092268675E-06,17,0.4860560826
0.2423439026,2.4909162521,-0.1960838884,1.06747461281E-05,18,0.5576886598
0.2624568939,2.5288858414,-0.2171674073,1.35592359401E-05,19,0.6011191154
0.2874338627,2.5681042671,-0.2299916744,1.78104567453E-05,20,0.642381044
0.2874338627,2.6037445068,-0.2475946397,1.78104567453E-05,21,0.6821314034
0.2999130487,2.6395385265,-0.2661694288,2.02323974736E-05,22,0.722458003
0.2870630026,2.6777460575,-0.2702085078,1.77416060985E-05,23,0.7608784348
0.3006762266,2.714468956,-0.266446054,2.03872447873E-05,24,0.7977935717
0.3240050077,2.761367321,-0.2954485416,2.55103508273E-05,25,0.852935216
0.3299607039,2.7888970375,-0.3057731092,2.69431226073E-05,26,0.8823372905
0.3473613262,2.8137156963,-0.3224070668,3.14344348067E-05,27,0.9122146125
0.3821704388,2.8402523994,-0.3420828283,4.18632109614E-05,28,0.94524993
0.3979363441,2.8683829308,-0.3608734012,4.72609101094E-05,29,0.9790790953
0.4050214291,2.9311316013,-0.3906352222,4.98305026977E-05,30,1.0485280812
0.4125593901,2.9311316013,-0.3906352222,5.26648306979E-05,31,1.0485280812
0.4087250233,2.9640929699,-0.401561439,0.00005121,32,1.0832532023
0.4261097908,3.0004584789,-0.4036813378,5.80264234448E-05,33,1.1196804478
0.446185112,3.0559442043,-0.4375658631,6.66202853028E-05,34,1.1846944984
0.4745733738,3.080580473,-0.4561128616,8.01625212553E-05,35,1.215531763
0.4848308563,3.1058189869,-0.4706788063,8.54736046185E-05,36,1.2446719299
0.4762601852,3.1330602169,-0.4834434986,8.10203459115E-05,37,1.2747555132
0.4829837084,3.1665050983,-0.4827031493,8.45003890639E-05,38,1.308208588
0.5060734749,3.2023532391,-0.4891323149,0.000097208,39,1.3446286836
0.5303493738,3.2530758381,-0.5285292268,0.0001118787,40,1.408854058
0.5173485279,3.2811031342,-0.5261210203,0.0001038511,41,1.4369846247
0.5206891298,3.3120796681,-0.530470252,0.0001058758,42,1.4682649934
0.5249917507,3.3392612934,-0.5353266001,0.0001085222,43,1.4958770356
0.5132489204,3.3696541786,-0.5324929953,0.0001014017,44,1.526401727
0.513420105,3.43551898,-0.528655827,0.0001015032,45,1.5923782071
0.5143033266,3.4652144909,-0.5286482573,0.000102028,46,1.6220737189
0.5491685867,3.4912414551,-0.536364913,0.0001242162,47,1.6492205353
0.5515290499,3.5134136677,-0.5524464846,0.0001258249,48,1.6766107518
0.5311099291,3.527821064,-0.5568796396,0.0001123607,49,1.6916847669
0.500795722,3.5431752205,-0.5450662375,9.41983063274E-05,50,1.7110575982
0.5050677061,3.5642135143,-0.5230578184,9.66295741469E-05,51,1.7415039497
0.5050677061,3.5911006928,-0.5215668082,9.66295741469E-05,52,1.7684324378
0.4701180458,3.6149654388,-0.5096263289,7.79259364545E-05,53,1.7951176613
0.4502937794,3.6445937157,-0.4920220375,6.84776906311E-05,54,1.8295813504
0.4367046356,3.6798481941,-0.472950995,6.24632632689E-05,55,1.8696635523
0.4367046356,3.7200756073,-0.4572125375,6.24632632689E-05,56,1.9128601241
0.4143323898,3.7586231232,-0.4360592365,5.33467440895E-05,57,1.9568302631
0.3985111713,3.7999625206,-0.4136666656,0.000047466,58,2.0038448674
0.3985111713,3.8429532051,-0.4095218778,0.000047466,59,2.0470348919
0.3910553455,3.8787961006,-0.4000077844,4.48513938267E-05,60,2.0841190008
0.4021803141,3.914908886,-0.4027267098,4.87891992291E-05,61,2.1203339952
0.3840671778,3.9455897808,-0.389039427,4.2489619872E-05,62,2.153929516
