,steps,vrep_steps,travelled_distances
0,317.0,451.0,14.1189823151
1,392.0,521.0,16.3173618317
2,243.0,342.0,10.2782402039
3,229.0,310.0,9.12240505219
4,261.0,300.0,8.82656764984
5,274.0,315.0,9.21382331848
6,247.0,367.0,10.8218755722
7,215.0,323.0,9.48342418671
8,429.0,611.0,18.6724700928
9,169.0,242.0,6.96846961975
10,433.0,636.0,19.1126232147
11,194.0,242.0,7.00033855438
12,442.0,657.0,19.9208221436
13,167.0,248.0,7.17509889603
14,611.0,891.0,27.1448993683
15,171.0,252.0,7.22182273865
16,665.0,983.0,29.8882789612
17,185.0,277.0,7.92420339584
18,434.0,637.0,19.032869339
19,229.0,342.0,9.92948150635
20,4155.0,5305.0,162.982467651
21,4191.0,5328.0,163.680541992
22,3730.0,5250.0,162.329711914
23,4248.0,5296.0,163.094314575
24,4307.0,5227.0,161.590835571
