distances,positions[0],positions[1],rewards,steps,travelled_distance
0.1595122814,2.0901904106,4.9015231133,0.000003044,1,0
0.1602091789,2.1468923092,4.9057378769,3.08406446502E-06,2,0.0568583286
0.1597931385,2.1742520332,4.9075865746,3.0601001762E-06,3,0.0842804398
0.1635389328,2.2000334263,4.9087867737,3.28038442694E-06,4,0.1100897542
0.1657648087,2.2507703304,4.9061908722,3.41616055179E-06,5,0.1608930232
0.1814279556,2.2763192654,4.9019002914,4.4789259672E-06,6,0.1867997243
0.1671319008,2.3307232857,4.9036345482,3.50138059633E-06,7,0.2412313793
0.1523125172,2.3498687744,4.9098987579,2.65013531736E-06,8,0.2613756108
0.1553316116,2.3638541699,4.9161105156,2.81087030944E-06,9,0.2766784608
0.1543414593,2.3734612465,4.9177794457,2.75745903817E-06,10,0.2864294223
0.1671409607,2.3777501583,4.9098930359,0.000003502,11,0.2954066281
0.1870274544,2.3777501583,4.9098930359,4.90656268434E-06,12,0.2954066281
0.1870274544,2.3777501583,4.9098930359,4.90656268434E-06,13,0.2954066281
0.1870274544,2.3777501583,4.9098930359,4.90656268434E-06,14,0.2954066281
0.1870274544,2.3777501583,4.9098930359,4.90656268434E-06,15,0.2954066281
0.1870274544,2.3777501583,4.9098930359,4.90656268434E-06,16,0.2954066281
0.1870274544,2.3777501583,4.9098930359,4.90656268434E-06,17,0.2954066281
0.1947965622,2.3901658058,4.8954987526,5.54376902649E-06,18,0.3144156705
0.1947965622,2.3901658058,4.8954987526,5.54376902649E-06,19,0.3144156705
0.1947965622,2.3901658058,4.8954987526,5.54376902649E-06,20,0.3144156705
0.1851115227,2.4100801945,4.8874807358,4.75731187103E-06,21,0.3358835877
0.1851115227,2.4100801945,4.8874807358,4.75731187103E-06,22,0.3358835877
0.1851115227,2.4100801945,4.8874807358,4.75731187103E-06,23,0.3358835877
0.1851115227,2.4271626473,4.8922781944,4.75731187103E-06,24,0.3536269189
0.197917223,2.4271626473,4.8922781944,5.81449537371E-06,25,0.3536269189
0.197917223,2.4271626473,4.8922781944,5.81449537371E-06,26,0.3536269189
