distances,positions[0],positions[1],rewards,steps,travelled_distance
0.2866951227,1.5251367092,4.6943588257,1.76734842686E-05,1,0
0.2866951227,1.5251367092,4.6943588257,1.76734842686E-05,2,0
0.2766150236,1.5564967394,4.7049541473,1.58740796574E-05,3,0.0331015458
0.2766150236,1.5564967394,4.7049541473,1.58740796574E-05,4,0.0331015458
0.2944073677,1.6211013794,4.7090425491,1.91384731045E-05,5,0.0978354205
0.283621788,1.6211013794,4.7090425491,1.71111829683E-05,6,0.0978354205
0.2561514378,1.6501919031,4.7162213326,1.26052556185E-05,7,0.127798623
0.2150388956,1.6748914719,4.7370324135,7.45782736812E-06,8,0.1600967621
0.1819603443,1.7195339203,4.8030896187,4.51847114534E-06,9,0.2398244396
0.1770555973,1.7472970486,4.819475174,4.16284504909E-06,10,0.2720622701
0.1258041859,1.7734113932,4.8427562714,1.49329818803E-06,11,0.3070475311
0.1258041859,1.7734113932,4.8427562714,1.49329818803E-06,12,0.3070475311
0.1258041859,1.7983220816,4.8701972961,1.49329818803E-06,13,0.3441089967
0.0860055685,1.7983220816,4.8701972961,4.77134671481E-07,14,0.3441089967
0.0860055685,1.8194020987,4.9056215286,4.77134671481E-07,15,0.3853308764
0.0434125662,1.8194020987,4.9056215286,6.1363149039E-08,16,0.3853308764
0.0434125662,1.8389031887,4.9448919296,6.1363149039E-08,17,0.4291767076
0.0238558054,1.8618482351,4.970659256,1.01822443185E-08,18,0.46367932
0.0269916058,1.8982260227,4.9761781693,1.47484856259E-08,19,0.5004733662
0.0231772661,1.9423267841,4.9782757759,9.33787133274E-09,20,0.5446239846
0.0140808821,1.9824346304,4.9821786881,2.09387546095E-09,21,0.5849212805
-0.0198947191,2.0148923397,4.9902801514,-5.90574511908E-09,22,0.6183747796
-0.0471796989,2.0372989178,5.0151529312,-7.87638178773E-08,23,0.6518517854
-0.0617550611,2.0653421879,5.0559616089,-1.7663588217E-07,24,0.7013671686
-0.0675190687,2.0804362297,5.0654573441,-2.30855695633E-07,25,0.7191996974
-0.0813845396,2.0931799412,5.0785064697,-4.04284411855E-07,26,0.737439266
-0.0788656473,2.0931799412,5.0785064697,-3.67895842706E-07,27,0.737439266
-0.0795106888,2.1072692871,5.0813398361,-0.000000377,28,0.7518106832
-0.0807720423,2.1210169792,5.0841360092,-3.95225042753E-07,29,0.7658398536
-0.0779098272,2.1455245018,5.0855255127,-3.54681051447E-07,30,0.790386735
-0.0899276733,2.1536011696,5.0935955048,-5.45432905642E-07,31,0.8018041487
-0.0764962435,2.1536011696,5.0935955048,-3.35723381926E-07,32,0.8018041487
-0.061207056,2.1664783955,5.0860157013,-0.000000172,33,0.8167465838
-0.0531846285,2.1906878948,5.0754976273,-1.12828717868E-07,34,0.8431422224
-0.0488817692,2.2214622498,5.0683708191,-8.75995774473E-08,35,0.874731023
-0.0488817692,2.2549812794,5.0630846024,-8.75995774473E-08,36,0.9086643316
-0.0578051805,2.2830820084,5.0720453262,-1.44864359112E-07,37,0.9381591708
-0.0488413572,2.3096036911,5.0667519569,-8.73824938274E-08,38,0.9652039376
-0.0450820923,2.3444166184,5.0584511757,-6.87184657274E-08,39,1.0009928029
-0.0431345701,2.423011303,5.0474538803,-6.01918492339E-08,40,1.0803531516
-0.0612763166,2.4594316483,5.0563178062,-1.72559636994E-07,41,1.1178366244
-0.0510181189,2.4919550419,5.0510902405,-9.95943237648E-08,42,1.1507774589
-0.0510181189,2.5279364586,5.0446381569,-9.95943237648E-08,43,1.1873327831
-0.0511413813,2.5654244423,5.0407829285,-1.00317944319E-07,44,1.2250184795
-0.0492200851,2.6035661697,5.0354728699,-8.94310531958E-08,45,1.2635280639
-0.0493197441,2.6427927017,5.0312361717,-0.00000009,46,1.3029827268
-0.0530716181,2.6814143658,5.0295424461,-1.12111006098E-07,47,1.3416415116
-0.0585672855,2.7183823586,5.0295510292,-1.50669917736E-07,48,1.3786095054
-0.065448761,2.7536480427,5.0291266441,-2.10264304671E-07,49,1.4138777429
-0.067815423,2.7881565094,5.0280418396,-2.33908868804E-07,50,1.4484032563
-0.0864754915,2.8227114677,5.0266890526,-0.000000485,51,1.4829846845
-0.0721205473,2.8559889793,5.0368852615,-2.81344419086E-07,52,1.5177892166
-0.0463305712,2.8886847496,5.0278878212,-7.4587186656E-08,53,1.5517003848
-0.0395028591,2.9216241837,5.0062050819,-4.62324440805E-08,54,1.5911357433
-0.0395028591,2.9552917481,4.9926066399,-4.62324440805E-08,55,1.6274458317
-0.0258338451,2.989978075,4.9805517197,-1.29308900505E-08,56,1.6641672474
-0.018633008,3.0259230137,4.9686493874,-4.85188138353E-09,57,1.7020315331
-0.011890769,3.0621767044,4.9570407867,-1.26093032818E-09,58,1.7400984439
-0.011890769,3.0977129936,4.9461116791,-1.26093032818E-09,59,1.7772773794
0.0124036074,3.1319432259,4.9325551987,1.4312163683E-09,60,1.814094318
0.02173841,3.1952073574,4.9057574272,7.7045023122E-09,61,1.8828000011
0.0360047817,3.2247784138,4.8912477493,0.000000035,62,1.9157390073
0.0401655436,3.2533631325,4.8836579323,4.85984266251E-08,63,1.9453141905
0.0557538271,3.2836899757,4.8804216385,0.00000013,64,1.9758132236
0.040088892,3.3132388592,4.867682457,4.83207228263E-08,65,2.007991217
0.0258438587,3.3433334827,4.8750929833,1.29459324922E-08,66,2.0389848012
0.0065509081,3.3791949749,4.884829998,2.10846201772E-10,67,2.0761446731
0.0075621605,3.4160854816,4.8997139931,3.24338821163E-10,68,2.1159246027
-0.0012105703,3.4551768303,4.9023084641,-1.33055044881E-12,69,2.1551019536
