distances,positions[0],positions[1],rewards,steps,travelled_distance
-0.300853014,1.5307556391,0.1046732664,-2.04232269511E-05,108,0
-0.300853014,1.5618436337,0.1226227283,-2.04232269511E-05,109,0.035897724
-0.3502595425,1.5811018944,0.1594263911,-3.22278394529E-05,110,0.0774355405
-0.3826403618,1.6012426615,0.1907497197,-4.20178279911E-05,111,0.1146753232
-0.4121694565,1.6326582432,0.1991983801,-5.25156421203E-05,112,0.1472071328
-0.4121694565,1.6608629227,0.2211325616,-5.25156421203E-05,113,0.182936844
-0.4494948387,1.6823871136,0.2531146109,-6.81138441704E-05,114,0.2214873599
-0.4836388826,1.6823871136,0.2531146109,-8.48447336813E-05,115,0.2214873599
-0.4836388826,1.7017230988,0.2851909697,-8.48447336813E-05,116,0.2589409728
-0.5110020638,1.7017230988,0.2851909697,-0.0001000758,117,0.2589409728
-0.5110020638,1.7216675282,0.3136026859,-0.0001000758,118,0.2936541674
-0.5431268215,1.7405149937,0.3442922235,-0.0001201614,119,0.3296690903
-0.5727771521,1.7405149937,0.3442922235,-0.0001409348,120,0.3296690903
-0.5727771521,1.7586517334,0.3735364974,-0.0001409348,121,0.3640808453
-0.6076356173,1.7744913101,0.4055859447,-0.0001682639,122,0.3998308001
-0.6194558144,1.7744913101,0.4055859447,-0.0001782757,123,0.3998308001
-0.6194558144,1.7939555645,0.4228971601,-0.0001782757,124,0.4258795117
-0.6454045773,1.7939555645,0.4228971601,-0.000201631,125,0.4258795117
-0.6712119579,1.8107488155,0.4456555843,-0.0002267986,126,0.4541630608
-0.6885538101,1.8244262934,0.4686280787,-0.0002448358,127,0.4808989711
-0.7119992971,1.8374574184,0.4858795106,-0.0002707073,128,0.5025189184
-0.7119992971,1.8482129574,0.5057064295,-0.0002707073,129,0.5250752553
-0.7238963842,1.8609825373,0.5176954269,-0.0002845054,130,0.542590912
-0.726010561,1.8609825373,0.5176954269,-0.0002870054,131,0.542590912
-0.726010561,1.8784996271,0.5216272473,-0.0002870054,132,0.5605438406
-0.7400048375,1.8784996271,0.5216272473,-0.000303924,133,0.5605438406
-0.7400048375,1.8934383392,0.531989634,-0.000303924,134,0.5787247146
-0.7536410093,1.8934383392,0.531989634,-0.0003210368,135,0.5787247146
-0.7560348511,1.9044277668,0.5425090194,-0.0003241057,136,0.5939373734
-0.7560348511,1.9044277668,0.5425090194,-0.0003241057,137,0.5939373734
-0.7503466606,1.9158153534,0.5454701185,-0.0003168452,138,0.6057036488
-0.7503466606,1.9338709116,0.54195261,-0.0003168452,139,0.6240986494
-0.7505415082,1.9637492895,0.5403776169,-0.0003170921,140,0.6540185102
-0.7650542259,1.9637492895,0.5403776169,-0.0003358443,141,0.6540185102
-0.7650542259,1.9927326441,0.5479871035,-0.0003358443,142,0.6839841427
-0.770005703,2.0213992596,0.5499710441,-0.0003424074,143,0.7127193278
-0.7732908726,2.0559239388,0.5500258207,-0.0003468086,144,0.7472440504
-0.7860521078,2.0559239388,0.5500258207,-0.0003642632,145,0.7472440504
-0.808255136,2.0894184113,0.5561050177,-0.0003960105,146,0.7812857355
-0.8098033667,2.1141314507,0.5695259571,-0.0003982905,147,0.8094078964
-0.8098033667,2.1404268742,0.569984138,-0.0003982905,148,0.8357073113
-0.8027024865,2.1741075516,0.5633450747,-0.0003879047,149,0.8700360921
-0.8061315417,2.2164876461,0.5611430407,-0.0003928973,150,0.912473356
-0.8204689622,2.2164876461,0.5611430407,-0.0004142359,151,0.912473356
-0.8204689622,2.2607843876,0.566671133,-0.0004142359,152,0.957113709
-0.8444805741,2.2607843876,0.566671133,-0.0004516794,153,0.957113709
-0.8444805741,2.2973170281,0.5805267096,-0.0004516794,154,0.9961855764
-0.8588562012,2.2973170281,0.5805267096,-0.0004751411,155,0.9961855764
-0.8588562012,2.3294596672,0.5892255902,-0.0004751411,156,1.0294845219
-0.8839613795,2.3294596672,0.5892255902,-0.0005180374,157,1.0294845219
-0.8820826411,2.3547792435,0.6057342291,-0.0005147414,158,1.059710605
-0.8820826411,2.3814175129,0.6050544977,-0.0005147414,159,1.0863575454
-0.8801546693,2.4142012596,0.6020594835,-0.0005113735,160,1.1192778151
-0.8852946162,2.4142012596,0.6020594835,-0.000520385,161,1.1192778151
-0.8927442431,2.449403286,0.6034746766,-0.0005336327,162,1.1545082769
-0.8927442431,2.4855487347,0.6068103909,-0.0005336327,163,1.1908073189
-0.9014109969,2.4855487347,0.6068103909,-0.0005493256,164,1.1908073189
-0.9151926041,2.5226149559,0.6112575531,-0.0005749086,165,1.2281393695
-0.9151926041,2.5591711998,0.6199119091,-0.0005749086,166,1.2657060682
-0.9422802329,2.5916266441,0.6387582421,-0.0006274823,167,1.3032365908
-0.9464208484,2.5916266441,0.6387582421,-0.0006357907,168,1.3032365908
-0.9464208484,2.6255936623,0.6438060999,-0.0006357907,169,1.3375766432
-0.9474627376,2.6255936623,0.6438060999,-0.0006378928,170,1.3375766432
-0.9474627376,2.6610035896,0.6450567245,-0.0006378928,171,1.3730086487
-0.9703948498,2.6610035896,0.6450567245,-0.000685341,172,1.3730086487
-0.9695526958,2.6934945583,0.6617026329,-0.0006835582,173,1.4095154879
-0.9695526958,2.7301959992,0.6651509404,-0.0006835582,174,1.4463785669
-0.969486773,2.7301959992,0.6651509404,-0.0006834188,175,1.4463785669
-0.969486773,2.7668738365,0.6659358144,-0.0006834188,176,1.483064801
-0.9880232215,2.7668738365,0.6659358144,-0.0007233737,177,1.483064801
-0.9880232215,2.80078578,0.6793684363,-0.0007233737,178,1.519540207
-0.9991886616,2.8358521462,0.6905183792,-0.000748176,179,1.5563365556
-0.9991886616,2.8358521462,0.6905183792,-0.000748176,180,1.5563365556
-1.0110331178,2.8358521462,0.6905183792,-0.0007750994,181,1.5563365556
-1.0110331178,2.8706889153,0.7027965784,-0.0007750994,182,1.5932737273
-1.0190928578,2.8706889153,0.7027965784,-0.0007937844,183,1.5932737273
-1.0190928578,2.9053013325,0.7130049467,-0.0007937844,184,1.6293601542
-1.0345378518,2.9389517307,0.728684783,-0.000830425,185,1.6664843588
-1.0514866114,2.9389517307,0.728684783,-0.0008719117,186,1.6664843588
-1.0514866114,2.9723439217,0.7467015982,-0.0008719117,187,1.7044270004
-1.0663611889,2.9723439217,0.7467015982,-0.0009094404,188,1.7044270004
-1.0663611889,2.9723439217,0.7467015982,-0.0009094404,189,1.7044270004
-1.0822621584,3.0050451756,0.764010787,-0.0009507333,190,1.7414267304
-1.0822621584,3.0366075039,0.7825323939,-0.0009507333,191,1.7780222286
-1.1105253696,3.0366075039,0.7825323939,-0.0010271804,192,1.7780222286
-1.1105253696,3.0639941692,0.8099622726,-0.0010271804,193,1.8167833907
-1.118645072,3.0982210636,0.8271253705,-0.0010498765,194,1.8550724522
-1.1289612651,3.0982210636,0.8271253705,-0.0010791912,195,1.8550724522
-1.1289612651,3.1262931824,0.8421138525,-0.0010791912,196,1.8868953754
-1.1551349759,3.1489405632,0.8675721884,-0.0011560043,197,1.9209692764
-1.1551349759,3.1489405632,0.8675721884,-0.0011560043,198,1.9209692764
-1.1599097848,3.1489405632,0.8675721884,-0.0011703989,199,1.9209692764
-1.1599097848,3.1827745438,0.8843761683,-0.0011703989,200,1.9587464121
-1.1814270616,3.1827745438,0.8843761683,-0.0012367503,201,1.9587464121
-1.1814270616,3.1827745438,0.8843761683,-0.0012367503,202,1.9587464121
-1.2087478638,3.2218883038,0.9335778952,-0.0013245502,203,2.0216009756
-1.2352761626,3.2218883038,0.9335778952,-0.0014136876,204,2.0216009756
-1.2352761626,3.241332531,0.9632279277,-0.0014136876,205,2.0570580256
-1.2352761626,3.241332531,0.9632279277,-0.0014136876,206,2.0570580256
-1.2573747039,3.241332531,0.9632279277,-0.0014909237,207,2.0570580256
-1.2573747039,3.2620251179,0.9908217192,-0.0014909237,208,2.0915486111
-1.2573747039,3.2620251179,0.9908217192,-0.0014909237,209,2.0915486111
-1.2630333901,3.2884860039,1.0082067251,-0.0015111437,210,2.1232095794
-1.2661921382,3.2884860039,1.0082067251,-0.0015225098,211,2.1232095794
-1.2661921382,3.311975956,1.021219492,-0.0015225098,212,2.1500630699
-1.2661921382,3.311975956,1.021219492,-0.0015225098,213,2.1500630699
-1.2661921382,3.311975956,1.021219492,-0.0015225098,214,2.1500630699
-1.2912663221,3.3328261375,1.0302895308,-0.0016147628,215,2.1728006088
-1.2912663221,3.3402791023,1.0508923531,-0.0016147628,216,2.1947100353
-1.324526906,3.3402791023,1.0508923531,-0.0017427842,217,2.1947100353
-1.324526906,3.343180418,1.0812211037,-0.0017427842,218,2.225177243
-1.3598225117,3.3467724323,1.1167268753,-0.0018858535,219,2.2608642488
-1.3527700901,3.3682904244,1.1388716698,-0.0018566637,220,2.2917416824
-1.3477175832,3.3859112263,1.1574465036,-0.0018359377,221,2.3173447508
-1.3651339412,3.3901839256,1.184809804,-0.0019080382,222,2.345039627
-1.378387928,3.3945946693,1.2161494494,-0.0019641545,223,2.3766881346
-1.3953185082,3.3945946693,1.2161494494,-0.0020374236,224,2.3766881346
-1.3822873235,3.3974823952,1.2496237755,-0.0019808712,225,2.4102867874
-1.3822873235,3.4199090004,1.270273447,-0.0019808712,226,2.4407722192
-1.3805712462,3.4378504753,1.2916765213,-0.0019735027,227,2.4687004865
-1.3674800396,3.4612426758,1.3064180613,-0.0019178925,228,2.4963502251
-1.3718845844,3.4726569653,1.3268561363,-0.0019364844,229,2.5197596445
-1.3903499842,3.4728934765,1.3542826176,-0.0020157361,230,2.5471871455
-1.40494138,3.473498106,1.3823039532,-0.0020798685,231,2.5752150035
-1.4352175593,3.4646039009,1.4166768789,-0.0022172491,232,2.6107200019
-1.4734447599,3.4597840309,1.4484853745,-0.00239918,233,2.6428915971
-1.4989333153,3.4547793865,1.4815356731,-0.0025258537,234,2.6763186625
-1.5099870265,3.4560310841,1.547273159,-0.0025821467,235,2.742068064
-1.5318742394,3.4561328888,1.5811052322,-0.0026960665,236,2.7759002904
-1.5313672721,3.4709362984,1.608966589,-0.0026933906,237,2.8074501896
-1.51145491,3.5006446838,1.6303066015,-0.0025896845,238,2.8440286572
-1.4658210278,3.5361609459,1.6507622004,-0.0023621317,239,2.8850144645
-1.4717385769,3.5721588135,1.6731650829,-0.0023908553,240,2.927414177
-1.4717385769,3.5880279541,1.7013870478,-0.0023908553,241,2.9597917761
-1.4699305594,3.6007454395,1.7220146656,-0.0023820546,242,2.9840246681
-1.4888216853,3.5999550819,1.7493396998,-0.0024750805,243,3.0113611301
-1.495924443,3.5986213684,1.7696794272,-0.0025106735,244,3.0317445377
-1.4911060631,3.6046974659,1.7819368839,-0.0024864909,245,3.0454253346
-1.4973939955,3.6122245789,1.7917608023,-0.00251808,246,3.0578013923
-1.4881934226,3.6131472588,1.8042856455,-0.0024719484,247,3.0703601755
-1.4829229713,3.6264183521,1.8121627569,-0.002445778,248,3.0857929588
-1.4743677676,3.6372401714,1.8177492619,-0.0024036916,249,3.097971662
-1.4612109661,3.6538901329,1.8256340027,-0.0023399147,250,3.1163942122
-1.4441377819,3.6755359173,1.8360639811,-0.0022588488,251,3.1404217887
-1.4441377819,3.6883552074,1.8529508114,-0.0022588488,252,3.1616231857
-1.4264526069,3.7086396217,1.8606418371,-0.0021768741,253,3.1833167179
-1.4036748707,3.7379550934,1.873088479,-0.0020742488,254,3.2151650424
-1.3782325089,3.7726268768,1.8895273209,-0.0019634902,255,3.2535364913
-1.3547867835,3.8076858521,1.9096205235,-0.0018649797,256,3.2939452594
-1.3322664499,3.8420066834,1.9308741093,-0.0017735137,257,3.3343139895
-1.3122825623,3.8742904663,1.9532874823,-0.0016948971,258,3.3736154135
-1.2929880619,3.8742904663,1.9532874823,-0.0016212307,259,3.3736154135
-1.2734532952,3.9047653675,1.9745651484,-0.0015488535,260,3.4107833927
-1.2692258358,3.9341380596,1.994132638,-0.0015334795,261,3.4460770421
-1.2460777164,3.979156971,2.0323536396,-0.0014510977,262,3.505132502
-1.2189211845,4.0110287666,2.0454146862,-0.0013582763,263,3.539576693
-1.1946824789,4.0431652069,2.0636525154,-0.0012788475,264,3.5765275957
-1.1689753532,4.0765728951,2.0824489594,-0.0011980566,265,3.6148600877
-1.1580392718,4.0765728951,2.0824489594,-0.0011647457,266,3.6148600877
-1.132043004,4.1016759872,2.1107487679,-0.001088053,267,3.6526892351
-1.1059807539,4.1322431564,2.1278550625,-0.0010146213,268,3.6877174687
-1.0758921504,4.1642479897,2.1456353664,-0.0009340443,269,3.7243296055
-1.050873518,4.1988635063,2.1609025002,-0.0008703874,270,3.7621623871
-1.0402436256,4.231924057,2.1819558144,-0.000844241,271,3.8013573109
-1.0160450935,4.2560648918,2.2126998901,-0.0007866838,272,3.8404466712
-0.9925507903,4.2857699394,2.2353215218,-0.0007333638,273,3.8777846957
-0.9649258256,4.3154826164,2.2569503784,-0.0006738187,274,3.9145358945
-0.9229114652,4.3473186493,2.2743701935,-0.0005895782,275,3.9508261542
-0.9108703136,4.3877983093,2.2820155621,-0.0005668014,276,3.992021476
-0.8787463307,4.4145445824,2.3088717461,-0.0005089227,277,4.0299242166
-0.8450448513,4.4875192642,2.3439574242,-0.0004525854,278,4.1108952546
-0.8250194788,4.5166888237,2.362667799,-0.0004211665,279,4.1455498549
-0.7958900332,4.5493535996,2.3772158623,-0.000378112,280,4.1813078433
-0.7531655431,4.5789270401,2.391130209,-0.0003204296,281,4.213991133
-0.724576354,4.6039361954,2.4069485664,-0.0002853079,282,4.2435829947
-0.7163040638,4.6338095665,2.4186537266,-0.0002756472,283,4.2756677119
-0.693136692,4.6535382271,2.4446938038,-0.0002497572,284,4.3083373563
-0.6821256876,4.6991930008,2.4893400669,-0.0002380425,285,4.3721938139
-0.6694833636,4.718421936,2.5150957108,-0.0002250508,286,4.4043357669
-0.6505461335,4.7400250435,2.5362410545,-0.0002064884,287,4.4345652196
