distances,positions[0],positions[1],rewards,steps,travelled_distance
-0.1371589899,-0.0031377219,0.1035762578,-1.93523672838E-06,1,0
-0.1428415775,0.0023487578,0.1176532656,-2.18587426474E-06,2,0.0151083953
-0.1439591646,0.0065070847,0.1214715838,-2.23758332471E-06,3,0.0207538569
-0.1496269703,0.0108468467,0.1262611747,-2.51241229558E-06,4,0.0272171157
-0.1462973356,0.0153830824,0.1307134181,-2.34839157579E-06,5,0.0335732078
-0.1380913258,0.0308318287,0.1275464892,-0.000001975,6,0.0493432173
-0.1362643242,0.039527826,0.1280390769,-1.89761350865E-06,7,0.0580531548
-0.1403149366,0.0468162,0.1331475973,-2.07191997246E-06,8,0.0669535692
-0.1328955889,0.0528490171,0.1346484125,-1.76032542259E-06,9,0.0731702667
-0.1307864189,0.0679536015,0.1313433498,-1.67783484201E-06,10,0.088632217
-0.121764183,0.0762730762,0.1263876408,-0.000001354,11,0.0983158482
-0.1097513437,0.0866135061,0.1186840534,-9.9149562435E-07,12,0.1112104109
-0.0991857052,0.0980862528,0.1114370674,-7.31827153817E-07,13,0.1247803307
-0.0850285292,0.1115095988,0.1012397632,-4.61057682952E-07,14,0.1416377098
-0.0720120668,0.1265022755,0.0911964104,-2.80076771225E-07,15,0.1596834653
-0.0572566986,0.1430830806,0.0793778971,-1.40779744616E-07,16,0.1800452029
-0.0231388807,0.1615610421,0.0653221235,-9.29155294413E-09,17,0.2032615727
-0.0123484135,0.1821019948,0.0509877615,-1.41219526688E-09,18,0.22830962
-0.003085494,0.2038891613,0.0406098142,-2.20310603211E-11,19,0.2524422207
0.0134657621,0.247309044,0.0170991085,1.83127716328E-09,20,0.3018187282
0.029591918,0.247309044,0.0170991085,1.94348238018E-08,21,0.3018187282
0.0481797457,0.2957368493,-0.0147788404,8.3879295249E-08,22,0.3597967926
0.0659481287,0.3224946558,-0.0320948437,2.15114008845E-07,23,0.3916687894
0.0748586655,0.3511646986,-0.0431647114,3.14620853548E-07,24,0.4224017249
0.0998299122,0.3761725724,-0.0643814057,7.46179529707E-07,25,0.4551971799
0.1160527468,0.4040182531,-0.0831980407,1.17226968756E-06,26,0.4888044364
0.1316230297,0.4327174127,-0.1003350243,1.71023942219E-06,27,0.5222307429
