,distances,rewards,steps
0,0.257807970047,1.28513952669e-05,1.0
1,0.246866703033,1.12836294149e-05,2.0
2,0.235756158829,9.82766636138e-06,3.0
3,0.205561161041,6.51455041466e-06,4.0
4,0.165196657181,3.38115459487e-06,5.0
5,0.131774663925,1.71615699652e-06,6.0
6,0.108185529709,9.49661410838e-07,7.0
7,0.108185529709,9.49661410838e-07,8.0
8,0.0848202705383,4.57678196472e-07,9.0
9,0.0627174377441,1.85023199017e-07,10.0
10,0.0274972915649,1.55930481323e-08,11.0
11,0.00240063667297,1.03762534708e-11,12.0
12,-0.0219893455505,-7.97440292273e-09,13.0
13,-0.0453741550446,-7.00627073955e-08,14.0
14,-0.066038608551,-2.16000623809e-07,15.0
15,-0.0936567783356,-6.16139294701e-07,16.0
16,-0.0936567783356,-6.16139294701e-07,17.0
17,-0.098993062973,-7.27571283666e-07,18.0
18,-0.104644298553,-8.5942498842e-07,19.0
19,-0.112649202347,-1.0721255011e-06,20.0
20,-0.133017539978,-1.76517593758e-06,21.0
21,-0.124627351761,-1.45178185279e-06,22.0
22,-0.124627351761,-1.45178185279e-06,23.0
23,-0.119367837906,-1.27562565848e-06,24.0
24,-0.118762254715,-1.2563092742e-06,25.0
25,-0.136027574539,-1.88773977471e-06,26.0
26,-0.129366397858,-1.62377451238e-06,27.0
27,-0.122271776199,-1.3710078034e-06,28.0
28,-0.118991851807,-1.263609648e-06,29.0
29,-0.118991851807,-1.263609648e-06,30.0
30,-0.119965076447,-1.29486880614e-06,31.0
31,-0.123029708862,-1.39666179138e-06,32.0
32,-0.125879526138,-1.49598266658e-06,33.0
33,-0.126182794571,-1.50682108228e-06,34.0
34,-0.127720117569,-1.56256895786e-06,35.0
35,-0.14750289917,-2.40692707794e-06,36.0
36,-0.142061710358,-2.1502669541e-06,37.0
37,-0.123781681061,-1.4224283282e-06,38.0
38,-0.107079029083,-9.20819562939e-07,39.0
39,-0.103229761124,-8.25041948682e-07,40.0
40,-0.118397712708,-1.24477598416e-06,41.0
41,-0.118397712708,-1.24477598416e-06,42.0
42,-0.134103775024,-1.80877386253e-06,43.0
43,-0.121923923492,-1.35933986221e-06,44.0
44,-0.0904741287231,-5.55436597521e-07,45.0
45,-0.0484440326691,-8.52672248384e-08,46.0
46,-0.0324771404266,-2.56918047484e-08,47.0
47,-0.0324771404266,-2.56918047484e-08,48.0
48,-0.0379827022552,-4.1097825206e-08,49.0
49,-0.0629022121429,-1.86663334768e-07,50.0
50,-0.0629022121429,-1.86663334768e-07,51.0
51,-0.0470895767212,-7.83133177744e-08,52.0
52,-0.00785326957703,-3.63255986489e-10,53.0
53,-0.00785326957703,-3.63255986489e-10,54.0
54,0.0343282222748,3.03399739906e-08,55.0
55,0.0643935203552,2.0025702889e-07,56.0
56,0.083164691925,4.31398084662e-07,57.0
57,0.083164691925,4.31398084662e-07,58.0
58,0.0997126102448,7.43552296101e-07,59.0
59,0.123770713806,1.42205027343e-06,60.0
60,0.120400667191,1.30902500945e-06,61.0
61,0.1445748806,2.26641684978e-06,62.0
62,0.175683259964,4.06679619102e-06,63.0
63,0.195704936981,5.62168630806e-06,64.0
64,0.207216262817,6.67317899282e-06,65.0
65,0.224518299103,8.48821739145e-06,66.0
66,0.204214334488,6.38733851762e-06,67.0
67,0.178751707077,4.28362907233e-06,68.0
68,0.193280696869,5.41535225622e-06,69.0
69,0.178990840912,4.30084398451e-06,70.0
70,0.16220331192,3.20066643875e-06,71.0
71,0.163418054581,3.27311580891e-06,72.0
72,0.135545730591,1.86775020033e-06,73.0
73,0.146911621094,2.3780978284e-06,74.0
74,0.129484653473,1.6282315284e-06,75.0
75,0.0952150821686,6.47408657896e-07,76.0
76,0.0735816955566,2.98793149996e-07,77.0
77,0.0839965343475,4.44472981571e-07,78.0
78,0.0840404033661,4.45169752419e-07,79.0
79,0.0874805450439,5.02106338744e-07,80.0
80,0.0671882629395,2.27479100781e-07,81.0
81,0.0336670875549,2.86205456059e-08,82.0
82,-0.0399944782257,-4.79801243565e-08,83.0
83,-0.0708718299866,-2.66982136388e-07,84.0
84,-0.103155612946,-8.23265384656e-07,85.0
85,-0.13329577446,-1.776275846e-06,86.0
86,-0.13329577446,-1.776275846e-06,87.0
87,-0.146360397339,-2.35142971951e-06,88.0
88,-0.146360397339,-2.35142971951e-06,89.0
89,-0.238221883774,-1.01392592372e-05,90.0
90,-0.238055467606,-1.01180249385e-05,91.0
91,-0.263781785965,-1.37656168248e-05,92.0
92,-0.301555156708,-2.05665545501e-05,93.0
93,-0.329342842102,-2.67920503267e-05,94.0
94,-0.376866102219,-4.01441707512e-05,95.0
95,-0.40783572197,-5.08764794204e-05,96.0
96,-0.431135416031,-6.01038598236e-05,97.0
97,-0.444844007492,-6.60213646744e-05,98.0
98,-0.456225156784,-7.12195049746e-05,99.0
99,-0.452043056488,-6.92788502641e-05,100.0
100,-0.440745830536,-6.42134347931e-05,101.0
101,-0.423744678497,-5.70655536513e-05,102.0
102,-0.410064220428,-5.17150435764e-05,103.0
103,-0.379781007767,-4.10828904193e-05,104.0
104,-0.360314846039,-3.5083889422e-05,105.0
105,-0.358572006226,-3.45772465561e-05,106.0
106,-0.337913751602,-2.89386895923e-05,107.0
107,-0.311433553696,-2.2654655773e-05,108.0
108,-0.285800457001,-1.75085435234e-05,109.0
109,-0.241116285324,-1.05133445114e-05,110.0
110,-0.23847079277,-1.01710748374e-05,111.0
111,-0.217559337616,-7.72314959469e-06,112.0
112,-0.174957036972,-4.01657155559e-06,113.0
113,-0.154696464539,-2.77653037189e-06,114.0
114,-0.137098073959,-1.93265940343e-06,115.0
115,-0.135272741318,-1.85648795918e-06,116.0
116,-0.113384723663,-1.09326363186e-06,117.0
117,-0.0297894477844,-1.98266171887e-08,118.0
118,0.01198387146,1.29078137339e-09,119.0
119,0.027206659317,1.51038240797e-08,120.0
120,0.0643882751465,2.00208096744e-07,121.0
121,0.0751061439514,3.1775153651e-07,122.0
122,0.111192703247,1.03107469731e-06,123.0
123,0.16433262825,3.32837818552e-06,124.0
124,0.199787855148,5.98092720863e-06,125.0
125,0.268161773682,1.44627830582e-05,126.0
126,0.268328428268,1.44897643911e-05,127.0
127,0.273330688477,1.53153331817e-05,128.0
128,0.31286239624,2.29679040517e-05,129.0
129,0.362150669098,3.56228891255e-05,130.0
130,0.388058662415,4.38281773721e-05,131.0
131,0.408885955811,5.12705345091e-05,132.0
132,0.403924465179,4.94267140806e-05,133.0
133,0.425232648849,5.76688204634e-05,134.0
134,0.475227594376,8.04945013265e-05,135.0
135,0.506129026413,9.72400106202e-05,136.0
136,0.490255594254,8.83749004427e-05,137.0
137,0.478934049606,8.23926375578e-05,138.0
138,0.476007223129,8.08913143783e-05,139.0
139,0.484932184219,8.55272068427e-05,140.0
140,0.50850713253,9.86171415193e-05,141.0
141,0.515642046928,0.000102826779631,142.0
142,0.545439600945,0.000121702993844,143.0
143,0.537888169289,0.000116717839499,144.0
144,0.518344163895,0.000104451793807,145.0
145,0.534940600395,0.00011480953178,146.0
146,0.525432944298,0.000108796058337,147.0
147,0.544716000557,0.000121219269034,148.0
148,0.535319566727,0.000115053707174,149.0
149,0.519807219505,0.000105338755824,150.0
150,0.476600170135,8.11939822752e-05,151.0
151,0.458719015121,7.23938198774e-05,152.0
152,0.43660402298,6.24201003698e-05,153.0
153,0.448694229126,6.77505328263e-05,154.0
154,0.467354059219,7.65595409506e-05,155.0
155,0.45845913887,7.22708506242e-05,156.0
156,0.417051315308,5.44038643477e-05,157.0
157,0.421914577484,5.63293650656e-05,158.0
158,0.409773588181,5.16051626704e-05,159.0
159,0.410170078278,5.1755104545e-05,160.0
160,0.406481742859,5.03714433587e-05,161.0
161,0.383288860321,4.22318255939e-05,162.0
162,0.377618312836,4.03850296387e-05,163.0
163,0.370944261551,3.82813490775e-05,164.0
164,0.412816524506,5.27633647558e-05,165.0
165,0.433588504791,6.11356512159e-05,166.0
166,0.458386421204,7.2236466748e-05,167.0
167,0.478137493134,8.19822180411e-05,168.0
168,0.501388311386,9.45330954961e-05,169.0
169,0.500672221184,9.41286330102e-05,170.0
170,0.467394828796,7.65795786864e-05,171.0
171,0.47442817688,8.00889659906e-05,172.0
172,0.505565643311,9.69156520985e-05,173.0
173,0.523462772369,0.000107576811078,174.0
174,0.55019235611,0.000124912218171,175.0
175,0.56959271431,0.000138597226671,176.0
176,0.567085504532,0.000136775056302,177.0
177,0.562644958496,0.000133587111307,178.0
178,0.562380313873,0.000133398698611,179.0
179,0.575446367264,0.000142914344486,180.0
180,0.582607030869,0.00014831614453,181.0
181,0.610370993614,0.000170546544073,182.0
182,0.633528470993,0.000190703943783,183.0
183,0.663664460182,0.000219233515309,184.0
184,0.684371471405,0.000240401379439,185.0
185,0.701789259911,0.000259227705633,186.0
186,0.714835166931,0.000273954849689,187.0
187,0.733782052994,0.000296321060861,188.0
188,0.733782052994,0.000296321060861,189.0
189,0.762923717499,0.000333046299298,190.0
190,0.772831916809,0.000346191509076,191.0
191,0.770748853683,0.000343399711405,192.0
192,0.793014526367,0.000374028496632,193.0
193,0.832272529602,0.000432372380998,194.0
194,0.869096636772,0.000492340396733,195.0
195,0.923599243164,0.000590897249573,196.0
196,0.916006803513,0.000576444316284,197.0
197,0.921489596367,0.000586857382918,198.0
198,0.921489596367,0.000586857382918,199.0
199,0.946947693825,0.00063685305362,200.0
200,0.964565038681,0.000673063149048,201.0
201,0.979895949364,0.000705669180852,202.0
202,0.980399131775,0.00070675683517,203.0
203,0.965307474136,0.000674618536148,204.0
204,0.954913020134,0.000653059434928,205.0
205,0.957505941391,0.000658393744342,206.0
206,0.968680262566,0.000681714632409,207.0
207,0.968680262566,0.000681714632409,208.0
208,0.973347783089,0.000691616579334,209.0
209,0.965016722679,0.000674009132655,210.0
210,0.96426486969,0.000672434980455,211.0
211,0.956376075745,0.000656065761876,212.0
212,0.941092610359,0.000625112744515,213.0
