,steps,vrep_steps,travelled_distances
0,118.0,265.0,7.74792814255
1,228.0,316.0,9.32377052307
2,193.0,268.0,7.80576086044
3,229.0,317.0,9.35143184662
4,193.0,266.0,7.75509929657
5,229.0,317.0,9.31823921204
6,194.0,269.0,7.80503320694
7,227.0,311.0,9.14932060242
8,195.0,273.0,7.96716117859
9,217.0,296.0,8.66038036346
10,195.0,272.0,7.88865756989
11,193.0,263.0,7.54158878326
12,194.0,268.0,7.72968482971
13,225.0,309.0,9.02354717255
14,194.0,272.0,7.86540746689
15,223.0,309.0,9.04241752625
16,199.0,275.0,8.00424957275
17,180.0,246.0,7.04977893829
18,195.0,270.0,7.81671237946
19,232.0,320.0,9.32427883148
20,193.0,269.0,7.76333856583
21,228.0,314.0,9.11580085754
22,195.0,273.0,7.8244433403
23,229.0,316.0,9.14805316925
24,197.0,277.0,7.97467851639
25,231.0,321.0,9.29802036285
26,196.0,276.0,7.99203538895
27,228.0,317.0,9.26468086243
28,195.0,273.0,7.89133167267
29,228.0,315.0,9.09399986267
30,203.0,279.0,8.04339313507
31,231.0,322.0,9.4217710495
32,200.0,277.0,8.01176643372
33,233.0,323.0,9.41441917419
34,197.0,275.0,7.92772674561
35,231.0,320.0,9.29620456696
36,194.0,272.0,7.89414691925
37,237.0,315.0,9.09649181366
38,197.0,274.0,7.93013572693
39,230.0,316.0,9.17998218536
40,198.0,273.0,7.87683391571
41,467.0,578.0,17.3984642029
42,171.0,238.0,6.768699646
43,434.0,553.0,16.7784919739
44,123.0,178.0,5.13592243195
45,447.0,589.0,17.9360733032
46,193.0,266.0,7.67692184448
47,4165.0,5165.0,168.00944519
48,4546.0,5252.0,162.476577759
49,4520.0,5240.0,161.708190918
50,4618.0,5331.0,164.406723022
